recipient_name,cleaned_names,exclude,Notes
MANNY & OLGAS PIZZA,MANNY & OLGAS PIZZA,,
MANNY & OLGA'S PIZZA,MANNY & OLGA'S PIZZA,,
MANNY & OLGA'S,MANNY & OLGA'S,,
"MANNO, ROGER","MANNO, ROGER",,
MANNINO'S ITALIAN BISTRO,MANNINO'S ITALIAN BISTRO,,
MANNA KOREAN BBQ,MANNA KOREAN BBQ,,
MANICURES IN MOTION,MANICURES IN MOTION,,
MANHATTAN MARKET 020,MANHATTAN MARKET 020,,
MANHATTAN MARKET,MANHATTAN MARKET,,
MANHATTAN CLOTHING & JEWELRY,MANHATTAN CLOTHING & JEWELRY,,
MANHATTAN BAGEL,MANHATTAN BAGEL,,
MANGO TREE,MANGO TREE,,
MANGO MIKE'S,MANGO MIKE'S,,
MANGIALARDOS,MANGIALARDOS,,
MANGIALARDO'S,MANGIALARDO'S,,
MANGIALARDO & SONS,MANGIALARDO & SONS,,
MANESS GROUP,MANESS GROUP,,
MANDU DC,MANDU DC,,
MANDU 0055,MANDU 0055,,
MANDU,MANDU,,
MANDARIN ORIENTAL WASHINGTON,MANDARIN ORIENTAL WASHINGTON,,
MANDARIN ORIENTAL HOTELS,MANDARIN ORIENTAL HOTELS,,
MANDARIN ORIENTAL HOTEL,MANDARIN ORIENTAL HOTEL,,
MANDARIN ORIENTAL F/,MANDARIN ORIENTAL F/,,
MANDARIN ORIENTAL DC,MANDARIN ORIENTAL DC,,
MANDARIN ORIENTAL,MANDARIN ORIENTAL,,
MANDARIN CARRY-OUT,MANDARIN CARRYOUT,,
MAND.ORNT.WASHINGTON,MAND.ORNT.WASHINGTON,y,
MANCHU WAK SEATAC WA,MANCHU WAK SEATAC WA,,
MANAGING TO CHANGE THE WORLD,MANAGING TO CHANGE THE WORLD,y,
MANAGEMENT ACTION CENTER,MANAGEMENT ACTION CENTER,y,
MANAGED FUNDS ASSOCIATION,MANAGED FUNDS ASSOCIATION,y,
MAMMEN GROUP INC,MAMMEN GROUP INC,y,
MAMMA'S KITCHEN,MAMMA'S KITCHEN,,
MAMMA MIA RESTAURANT,MAMMA MIA RESTAURANT,,
MAMMA LUCIA,MAMMA LUCIA,,
MAMMA ILARDOS PIZZERIA,MAMMA ILARDOS PIZZERIA,,
MAMMA ILARDO'S #51,MAMMA ILARDO'S #51,,
MAMAN UNION MARKET LLC,MAMAN UNION MARKET LLC,,
MAMA'S PIZZA KITCHEN,MAMA'S PIZZA KITCHEN,,
MAMA'S ON THE HALF SHELL,MAMA'S ON THE HALF SHELL,,
MAMA STELLAS RESTAURANT,MAMA STELLAS RESTAURANT,,
MAMA J'S RESTAURANT,MAMA J'S RESTAURANT,,
MAMA AYESHA'S RESTAURANT,MAMA AYESHA'S RESTAURANT,,
MAMA AYESHA'S,MAMA AYESHA'S,,
MALONES OF MANASSAS,MALONES OF MANASSAS,y,
MALI THAI CUISINE,MALI THAI CUISINE,,
MALEA STENZEL-GILLIGAN,MALEA STENZELGILLIGAN,,
MALABAR INDIAN CUISINE,MALABAR INDIAN CUISINE,,
MALA TANG,MALA TANG,,
MAKING AMERICA PROSPEROUS PAC,MAKING AMERICA PROSPEROUS PAC,y,
MAKIMAK TRANSPORT,MAKIMAK TRANSPORT,y,
MAKI SHOP,MAKI SHOP,,
"MAKI OF JAPAN  ARLINGTON, VA","MAKI OF JAPAN  ARLINGTON, VA",,
MAKETTO LLC,MAKETTO LLC,,
MAKETTO,MAKETTO,,
MAKESHIFT CONSULTING,MAKESHIFT CONSULTING,y,
MAKE A WISH,MAKE A WISH,,
MAKAN DC,MAKAN DC,,
MAJORITY INITIATIVE TO KEEP ELECTING REPUBLICANS FUND A.K.A MIKE R FUND,MAJORITY INITIATIVE TO KEEP ELECTING REPUBLICANS FUND A.K.A MIKE R FUND,y,
MAJORITY GROUP LLC,MAJORITY GROUP LLC,y,
MAJOR LEAGUE BASEBALL,MAJOR LEAGUE BASEBALL,y,
MAJESTIC CAFE,MAJESTIC CAFE,,
MAIWAND KABOB,MAIWAND KABOB,,
MAIWAND GRILL,MAIWAND GRILL,,
MAISYS,MAISYS,,
MAISON KAYSER,MAISON KAYSER,,
MAISON CULINAIRE,MAISON CULINAIRE,,
MAISON CHERYL,MAISON CHERYL,,
MAIN STREET PUB,MAIN STREET PUB,,
MAIN STREET PARTNERSHIP,MAIN STREET PARTNERSHIP,y,
MAIN STREET DELI,MAIN STREET DELI,,
MAIN STREET CATERING,MAIN STREET CATERING,,
MAIN STREET CAFE,MAIN STREET CAFE,,
MAIN STREET BAGELS & CATERING,MAIN STREET BAGELS & CATERING,,
"MAIN STREET ARENA, LLC C/O WILL VEN DER LINDE","MAIN STREET ARENA, LLC C/O WILL VEN DER LINDE",y,
MAIN STREET ARENA,MAIN STREET ARENA,y,
MAIN STAGE PRODUCTIONS,MAIN STAGE PRODUCTIONS,,
MAIN INGREDIENT,MAIN INGREDIENT,,
MAIN EVENT CATERING,MAIN EVENT CATERING,,
MAIN EVENT CATERERS LLC,MAIN EVENT CATERERS LLC,,
MAIN EVENT CATERERS,MAIN EVENT CATERERS,,
MAIN EVENT CATERER,MAIN EVENT CATERER,,
MAIN EVENT CATER,MAIN EVENT CATER,,
MAIN EVENT,MAIN EVENT,,
MAIN & MARKET CATERING,MAIN & MARKET CATERING,,
"MAIL STREET DELI, INC.","MAIL STREET DELI, INC.",,
MAIELLANO POLITICAL CONSULTING SERVICES,MAIELLANO POLITICAL CONSULTING SERVICES,y,
MAIALINO MARE,MAIALINO MARE,,
MAI THAI RESTAURANT,MAI THAI RESTAURANT,,
MAI THAI 65000000410,MAI THAI 65000000410,,
MAI THAI,MAI THAI,,
MAI PHOTO NEWS AGENCY,MAI PHOTO NEWS AGENCY,y,
"MAI & ASSOCIATES, LLC","MAI & ASSOCIATES, LLC",y,
MAH-ZE-DAHR BAKERY,MAHZEDAHR BAKERY,,
MAH-ZE-DAHR,MAHZEDAHR,,
MAHI'S MAHI'S,MAHI'S MAHI'S,,
MAGRUDERS OF DC,MAGRUDERS OF DC,,
MAGRUDER'S,MAGRUDER'S,,
MAGNUM ENTERTAINMENT,MAGNUM ENTERTAINMENT,,
MAGNOLIAS AT THE MILL,MAGNOLIAS AT THE MILL,,
MAGNOLIA FOOD,MAGNOLIA FOOD,,
MAGNOLIA BAKERY,MAGNOLIA BAKERY,,
MAGNOLIA - CONNECTIC,MAGNOLIA  CONNECTIC,,
"MAGNI INTERNATIONAL OPERATIONS, LLC","MAGNI INTERNATIONAL OPERATIONS, LLC",y,
MAGLIOS PIZZA,MAGLIOS PIZZA,,
MAGILL ENTERPRISES LTD,MAGILL ENTERPRISES LTD,y,
MAGICAL MOMENTS,MAGICAL MOMENTS,,
MAGIC SPECIAL EVENTS,MAGIC SPECIAL EVENTS,,
MAGGIE MCFLY'S,MAGGIE MCFLY'S,,
MAGGIE MCFLY,MAGGIE MCFLY,,
MAGGIANOS LITTLE ITALY,MAGGIANOS LITTLE ITALY,,
MAGGIANOS CHEVY CHASE,MAGGIANOS CHEVY CHASE,,
MAGGIANOS,MAGGIANOS,,
MAGGIANO'S RESTAURANT,MAGGIANO'S RESTAURANT,,
MAGGIANO'S RESTARAUNT,MAGGIANO'S RESTARAUNT,,
MAGGIANO'S LITTLE ITALY,MAGGIANO'S LITTLE ITALY,,
MAGGIANO'S CHEVY CHASE,MAGGIANO'S CHEVY CHASE,,
MAGGIANO'S,MAGGIANO'S,,
MADRONE'S AMERICAN,MADRONE'S AMERICAN,,
MADISON INN,MADISON INN,,
MADISON DELI,MADISON DELI,,
MADISON COUNTY FAIR,MADISON COUNTY FAIR,y,
MADISON CAFE,MADISON CAFE,,
MADISON AT THE MILL,MADISON AT THE MILL,,
MADHATTER 8843001941,MADHATTER 8843001941,,
MADHATTER,MADHATTER,,
MADDY'S TAPROOM,MADDY'S TAPROOM,,
MADDY'S TAP ROOM,MADDY'S TAP ROOM,,
MADDY'S BAR AND GRILL,MADDY'S BAR AND GRILL,,
MADDY'S BAR & GRILL,MADDY'S BAR & GRILL,,
MADDY'S,MADDY'S,,
MADAN,MADAN,,
MADAM'S ORGAN,MADAM'S ORGAN,,
MADALENE XUAN-TRANG,MADALENE XUANTRANG,,
MAD ITALIAN,MAD ITALIAN,,
MAD FOX BREWING COMPANY,MAD FOX BREWING COMPANY,y,
MAD COW GRILL,MAD COW GRILL,,
MACY'S,MACY'S,,
MACS LIQUORS,MACS LIQUORS,,
MACON BISTRO & LARDER,MACON BISTRO & LARDER,,
MACON BISTRO,MACON BISTRO,,
MACKEYS - G STREET,MACKEYS  G STREET,,
MACKEYS,MACKEYS,,
MACKEY'S PUBLIC HOUSE,MACKEY'S PUBLIC HOUSE,,
MACKEY'S 54292980308,MACKEY'S 54292980308,,
MACKEY'S,MACKEY'S,,
MACK CLIFTON FOR PRESIDENT CAMPAIGN COMMITTEE,MACK CLIFTON FOR PRESIDENT CAMPAIGN COMMITTEE,y,
MACINTYRE'S,MACINTYRE'S,,
"MACIAS, JOSEPH DBA JMM ASSOCIATES","MACIAS, JOSEPH DBA JMM ASSOCIATES",y,
MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS &,MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS &,y,
MACHADO & COMPANY,MACHADO & COMPANY,y,
MACHADO & CO.,MACHADO & CO.,,
MACDOWELL BREW KITCHEN,MACDOWELL BREW KITCHEN,,
MACARTHURS BEVERAGES,MACARTHURS BEVERAGES,,
MACARTHUR LIQUORS,MACARTHUR LIQUORS,,
MACARTHUR BEVERAGES,MACARTHUR BEVERAGES,,
MACANDREWS AND FORBES HOLDINGS INC PAC,MACANDREWS AND FORBES HOLDINGS INC PAC,y,
MACANDREWS & FORBES INC.,MACANDREWS & FORBES INC.,,
"MACANDREWS & FORBES GROUP, LLC","MACANDREWS & FORBES GROUP, LLC",y,
MACANDREWS & FORBES GROUP INC,MACANDREWS & FORBES GROUP LLC,y,
MACANDREWS & FORBES GROUP LLC,MACANDREWS & FORBES GROUP LLC,y,
MACADO'S,MACADO'S,,
MACADAMIA STRATEGIES,MACADEMIA STRATEGIES LLC,y,
MACADAMIA STRATEGIES LLC,MACADEMIA STRATEGIES LLC,y,
MACADEMIA STRATEGIES LLC,MACADEMIA STRATEGIES LLC,y,
MAC AND BOB'S,MAC AND BOB'S,,
MAC & BOBS,MAC & BOBS,,
M&S SEAFOOD RESTAURANT,M&S SEAFOOD RESTAURANT,,
M&S,M&S,,
"M.K. CATERING, INC.","M.K. CATERING, INC.",,
"M.K. CATERING, INC","M.K. CATERING, INC.",,
M.K. CATERING INC.,M.K. CATERING INC.,,
M.K. CATERING,M.K. CATERING,,
M.ASHIQ,M.ASHIQ,,
"M. K. CATERING, INC.","M.K. CATERING, INC.",,
M STREET BAR N GRILL,M STREET BAR N GRILL,,
M S KIM,M S KIM,,
M K CATERING,M K CATERING,,
M CAFE,M CAFE,,
M AND S HARBORSIDE NATIONAL,M AND S HARBORSIDE NATIONAL,,
M & S GRILLE,M & S GRILLE,,
M & A HOSPITALITY LLC,M & A HOSPITALITY LLC,,
LYON PARK COMMUNITY CENTER,LYON PARK COMMUNITY CENTER,y,
LYON HALL LLC,LYON HALL LLC,,
LYON HALL 0080,LYON HALL 0080,,
LYON HALL,LYON HALL,,
LYNX SHREDS,LYNX SHREDS,,
LYNCHBURG REPUBLICAN CITY COMMITTEE - LRCC,LYNCHBURG REPUBLICAN CITY COMMITTEE  LRCC,y,
LYNCHBURG REGIONAL CHAMBER OF COMMERCE,LYNCHBURG REGIONAL CHAMBER OF COMMERCE,y,
LYNCHBURG HILLCATS,LYNCHBURG HILLCATS,,
LYLE DC,LYLE DC,,
LYKKE LLC,LYKKE LLC,,
LYFT.COM,LYFT.COM,y,
"LVLM, LLC","LVLM, LLC",y,
LVH CONSULTING,LVH CONSULTING,y,
LUXURY TAXI CAB COMP,LUXURY TAXI CAB COMP,y,
LUXURY COLLECTION THE FAIRFAX,LUXURY COLLECTION THE FAIRFAX,,
LUWICH CAFE,LUWICH CAFE,,
LUVPLATES SOUL & GRILL,LUVPLATES SOUL & GRILL,,
LUV'NBERRY,LUV'NBERRY,,
LUTECE,LUTECE,,
LUSTRE FORMALWEAR,LUSTRE FORMALWEAR,,
LUSTRE FORMAL WEAR INC,LUSTRE FORMAL WEAR INC,,
LUSTRE FORMAL WEAR,LUSTRE FORMAL WEAR,,
LUSTRE FORMAL,LUSTRE FORMAL,,
LUSTRE DRY CLEANERS,LUSTRE DRY CLEANERS,,
LUSTRE CLEANING,LUSTRE CLEANING,,
LUSTRE CLEANERS DC,LUSTRE CLEANERS DC,,
LUSTRE CLEANERS & FORMAL WEAR,LUSTRE CLEANERS & FORMAL WEAR,,
LUSTRE CLEANERS & FORMAL,LUSTRE CLEANERS & FORMAL,,
LUSTRE CLEANERS,LUSTRE CLEANERS,,
LUSTER CLEANERS,LUSTER CLEANERS,,
LURES BAR AND GRILLE,LURES BAR AND GRILLE,,
LUPUS FOUNDATION OF AMERICA,LUPUS FOUNDATION OF AMERICA,y,
LUPO VERDE,LUPO VERDE,,
LUPO MARINO RESTAURANT,LUPO MARINO RESTAURANT,,
LUPO MARINO,LUPO MARINO,,
LUPE CANTINA,LUPE CANTINA,,
LUPE,LUPE,,
LUNTZ GLOBAL PARTNERS LLC,LUNTZ GLOBAL PARTNERS LLC,y,
LUNTZ GLOBAL,LUNTZ GLOBAL,,
LUNCH & SUPPER,LUNCH & SUPPER,,
LUNA MAYA,LUNA MAYA,,
LUNA GRILL & SPORTS BAR,LUNA GRILL & SPORTS BAR,,
LUNA GRILL & DINER,LUNA GRILL & DINER,,
LUNA DEL SEA,LUNA DEL SEA,,
LUMBINI RESTAURANT,LUMBINI RESTAURANT,,
LULU'S LLC,LULU'S LLC,,
LULU BIRDS KITCHEN,LULU BIRDS KITCHEN,,
LULU,LULU,,
LULAC INSTITUTE,LULAC INSTITUTE,,
LULAC,LULAC,,
LUKES LOBSTER,LUKES LOBSTER,,
LUKE`S LOBSTER,LUKE`S LOBSTER,,
LUKE'S LOBSTER,LUKE'S LOBSTER,,
"LUKE L. PHIPPS, INC.","LUKE L. PHIPPS, INC.",,
LUJAN/LOBO VICTORY FUND,LUJAN/LOBO VICTORY FUND,y,
LUJAN,LUJAN,,
LUIS CATERING SERVICE LLC,LUIS CATERING SERVICE LLC,,
LUIGIS PIZZA,LUIGIS PIZZA,,
LUIGIS - DC,LUIGIS  DC,,
LUIGIS,LUIGIS,,
LUIGIONE CATERING SEVICE,LUIGIONE CATERING SEVICE,,
LUIGI'S,LUIGI'S,,
LUIGI PARASMO SALON AND SPA,LUIGI PARASMO SALON AND SPA,,
LUFTALLAH DAUOD,LUFTALLAH DAUOD,,
LUCKY'S,LUCKY'S,,
LUCKY STRIKES,LUCKY STRIKES,,
LUCKY STRIKE WASHINGTON DC,LUCKY STRIKE WASHINGTON DC,,
LUCKY STRIKE WASHINGTON D,LUCKY STRIKE WASHINGTON D,,
LUCKY STRIKE WASHINGTON,LUCKY STRIKE WASHINGTON,,
LUCKY STRIKE LANES,LUCKY STRIKE LANES,,
"LUCKY STRIKE ENTERTAINMENT LLC LUCKY STRIKE WASHINGTON DC, LLC","LUCKY STRIKE ENTERTAINMENT LLC LUCKY STRIKE WASHINGTON DC, LLC",y,
LUCKY STRIKE ENTERTAINMENT LLC,LUCKY STRIKE ENTERTAINMENT LLC,,
LUCKY STRIKE DC,LUCKY STRIKE DC,,
LUCKY STRIKE BOWLING,LUCKY STRIKE BOWLING,,
LUCKY STRIKE,LUCKY STRIKE,,
LUCKY CARRYOUT,LUCKY CARRYOUT,,
LUCKY BUNS,LUCKY BUNS,,
LUCKY BAR LUCKY BAR,LUCKY BAR LUCKY BAR,,
LUCKY BAR & GRILL,LUCKY BAR & GRILL,,
LUCKY BAR,LUCKY BAR,,
LUCKY,LUCKY,,
LUCKEY BAR,LUCKEY BAR,,
LUCIANO'S ITALIAN RESTAURANT,LUCIANO'S ITALIAN RESTAURANT,,
LUCIANO ITALIAN RESTAURANT,LUCIANO ITALIAN RESTAURANT,,
LUCIANO ITALIAN REST,LUCIANO ITALIAN REST,,
"LUBAN, LLC","LUBAN, LLC",y,
LUBAN LLC,LUBAN LLC,,
LU YOUNG CHILDREN'S FUND,LU YOUNG CHILDREN'S FUND,y,
LSG STRATEGIES,LSG STRATEGIES,y,
LP TRANSPORTATION,LP TRANSPORTATION,y,
"LOYOLA, BENITO","LOYOLA, BENITO",,
LOWRY'S CRAB SHACK,LOWRY'S CRAB SHACK,,
LOWES,LOWES,,
"LOWE'S HOME CENTERS, INC.","LOWE'S HOME CENTERS, INC.",y,
LOWE'S,LOWE'S,,
LOVINGSTON CAFE,LOVINGSTON CAFE,,
LOVES TRAVEL STOPS #,LOVES TRAVEL STOPS #,,
LOVES TRAVEL STOP,LOVES TRAVEL STOP,,
LOVES CONSUMER,LOVES CONSUMER,,
LOVES,LOVES,,
LOVELAND DISTRIBUTING CO.,LOVELAND DISTRIBUTING CO.,,
LOVE'S TRAVEL STOP,LOVE'S TRAVEL STOP,,
LOVE'S,LOVE'S,,
"LOVE, MAKOTO","LOVE, MAKOTO",,
LOVE MAKOTO,LOVE MAKOTO,,
LOVE LIMOUSINE,LOVE LIMOUSINE,,
"LOUNGE 201, LLC","LOUNGE 201, LLC",y,
LOUNGE 201,LOUNGE 201,,
LOUISIANA KITCHEN,LOUISIANA KITCHEN,,
LOUIS J. RHEB CANDY COMPANY,LOUIS J. RHEB CANDY COMPANY,y,
LOUDOUN FAIR AND ASSOCIATES,LOUDOUN FAIR AND ASSOCIATES,y,
"LOUDOUN FAIR AND ASS., INC.","LOUDOUN FAIR AND ASS., INC.",y,
LOUDOUN EVENT RENTALS,LOUDOUN EVENT RENTALS,,
LOUDOUN COUNTY REPUBLICAN COMMITTEE,LOUDOUN COUNTY REPUBLICAN COMMITTEE,y,
LOUDOUN COUNTY FAIRGROUNDS,LOUDOUN COUNTY FAIRGROUNDS,y,
LOUDOUN COUNTY DEMOCRATIC COMMITTEE,LOUDOUN COUNTY DEMOCRATIC COMMITTEE,y,
LOUDOUN CO. REPUBLICAN COMM.,LOUDOUN CO. REPUBLICAN COMM.,y,
"LOUDON, FAITH M","LOUDON, FAITH M",,
LOUDON COUNTY REPUBLICAN WOMEN'S CLUB,LOUDON COUNTY REPUBLICAN WOMEN'S CLUB,y,
LOUDON COUNTY CHAMBER OF COMMERCE,LOUDON COUNTY CHAMBER OF COMMERCE,y,
LOUDEN COUNTY DEMOCRATIC PARTY,LOUDEN COUNTY DEMOCRATIC PARTY,y,
LOU LOU WASHINGTON SQ,LOU LOU WASHINGTON SQ,,
LOT 38 ESPRESSO,LOT 38 ESPRESSO BAR,,
LOT 38 ESPRESSO BAR,LOT 38 ESPRESSO BAR,,
SQ LOT 38 ESPRESSO,LOT 38 ESPRESSO,,
LOST SOCIETY,LOST SOCIETY,y,
LOST RHINO BREWING COMPANY,LOST RHINO BREWING COMPANY,y,
LOST BOY CIDER,LOST BOY CIDER,,
LOST & FOUND DC,LOST & FOUND DC,,
LOST & FOUND,LOST & FOUND,,
LOS TOLTECOS OF STERLING,LOS TOLTECOS OF STERLING,,
LOS TOLTECOS,LOS TOLTECOS,,
LOS TIOS GRILL RESTAURANT,LOS TIOS GRILL RESTAURANT,,
LOS TIOS GRILL RESTA,LOS TIOS GRILL RESTA,,
LOS TIOS GRILL,LOS TIOS GRILL,,
LOS PORTALES,LOS PORTALES,,
LOS HERMANOS INC,LOS HERMANOS INC,,
LOS HERMANOS DC,LOS HERMANOS DC,,
LOS HERMANOS,LOS HERMANOS,,
LOS CUATES,LOS CUATES,,
LOS BURRITOS,LOS BURRITOS,,
LOS ANTOJITOS RESTAURANT,LOS ANTOJITOS RESTAURANT,,
LORIEN HOTEL,LORIEN HOTEL,,
"LORI SILVERMAN, LLC","LORI SILVERMAN, LLC",y,
LORI SILVERMAN LLC,LORI SILVERMAN LLC,,
LORI LAFAVE DBA LAFAVE & ASSOCIATES,LORI LAFAVE DBA LAFAVE & ASSOCIATES,y,
LORI LAFAVE,LORI LAFAVE,,
LORI K SILVERMAN LLC,LORI K SILVERMAN LLC,,
LOOK SUPPER CLUB,LOOK SUPPER CLUB,,
LONNIE R. STEPHENSON CHARITABLE TRUST,LONNIE R. STEPHENSON CHARITABLE TRUST,,
LONGWORTH HOUSE OFFICE BUILDING,LONGWORTH HOUSE OFFICE BUILDING,y,
LONGWORTH HOUSE CAFETERIA,LONGWORTH HOUSE CAFETERIA,,
LONGWORTH HOB,LONGWORTH HOB,,
LONGWORTH FOOD COURT,LONGWORTH FOOD COURT,,
LONGWORTH FC,LONGWORTH FC,,
LONGWORTH C-STORE,LONGWORTH CSTORE,y,
LONGWORTH CAFETERIA,LONGWORTH CAFETERIA,,
LONGWORTH CAFE,LONGWORTH CAFE,,
LONGWORTH CAF?,LONGWORTH CAF?,,
LONGWORTH,LONGWORTH,,
LONGWOOD UNIVERSITY,LONGWOOD UNIVERSITY,y,
LONGWOOD CATERING,LONGWOOD CATERING,,
LONGOVEN,LONGOVEN,,
LONGHORN STEAKHOUSE,LONGHORN STEAKHOUSE,,
LONGHORN,LONGHORN,,
LONGFELLOW CAFETERIA,LONGFELLOW CAFETERIA,,
LONGCHAMP,LONGCHAMP,,
LONG SHOT RESTAURANTS,LONG SHOT RESTAURANTS,,
LONE STAR PROJECT,LONE STAR PROJECT,,
LONE STAR LEADERSHIP PAC,LONE STAR LEADERSHIP PAC,y,
LONE STAR,LONE STAR,,
"LOLLAR, CHARLES J","LOLLAR, CHARLES J",,
LOLAS BARRACKS BAR & GRILL,LOLAS BARRACKS BAR & GRILL,,
LOLAS,LOLAS,,
LOLA'S LUNCHES,LOLA'S LUNCHES,,
LOLA'S GRILL,LOLA'S GRILL,,
LOLA'S BARRACKS BAR & GRILLE,LOLA'S BARRACKS BAR & GRILLE,,
LOLA'S BARRACKS BAR & GRILL,LOLA'S BARRACKS BAR & GRILL,,
LOLA'S BARRACKS BAR,LOLA'S BARRACKS BAR,,
LOLA'S BARRACKS BA,LOLA'S BARRACKS BA,,
LOLA'S BARRACKS,LOLA'S BARRACKS,,
LOLA'S BARRACK'S BAR & GRILL,LOLA'S BARRACK'S BAR & GRILL,,
LOLA'S BARRACK'S BAR & GR,LOLA'S BARRACK'S BAR & GR,,
LOLA'S BARRACK'S BAR &,LOLA'S BARRACK'S BAR &,,
LOLA'S BARRACK'S BAR,LOLA'S BARRACK'S BAR,,
LOLA'S BARRACK'S,LOLA'S BARRACK'S,,
LOLA'S BAR AND RESTAURANT,LOLA'S BAR AND RESTAURANT,,
LOLA'S,LOLA'S,,
LOLA BARRACKS BAR & GRILL,LOLA BARRACKS BAR & GRILL,,
LOLA BARRACK'S BAR & GRILL,LOLA BARRACK'S BAR & GRILL,,
LOKLGOURMET,LOKLGOURMET,,
LOKL GOURMET,LOKL GOURMET,,
LOGAN'S ROADHOUSE,LOGAN'S ROADHOUSE,,
LOGAN THE HEIGHTS,LOGAN THE HEIGHTS,,
LOGAN TAVERN 0000000,LOGAN TAVERN 0000000,,
LOGAN TAVERN,LOGAN TAVERN,,
LOG CABIN REPUBLICANS OF NH,LOG CABIN REPUBLICANS OF NH,y,
LOG CABIN REPUBLICANS,LOG CABIN REPUBLICANS,y,
LOFSTROM CONSULTING LLC,LOFSTROM CONSULTING LLC,y,
LOEWS MADISON HOTEL F&B,LOEWS MADISON HOTEL F&B,,
LOEWS MADISON HOTEL,LOEWS MADISON HOTEL,,
LOEWS L'ENFANT PLAZA,LOEWS L'ENFANT PLAZA,,
LOEWS HOTELS,LOEWS HOTELS,,
LOEWS HOTEL,LOEWS HOTEL,,
LOEWS ANNAPOLIS HOTEL,LOEWS ANNAPOLIS HOTEL,,
LOEW'S MADISON HOTEL,LOEW'S MADISON HOTEL,,
LODGE FRONT,LODGE FRONT,,
"LOCAL NANNY NETWORK, LLC","LOCAL NANNY NETWORK, LLC",y,
LOCAL 16,LOCAL 16,,
LOBBY LOUNGE,LOBBY LOUNGE,,
LOANE BROS INC,LOANE BROS INC,,
LO LOMA MEXICAN,LO LOMA MEXICAN,,
LN & CO.,LN & CO.,,
LLC CATERING SERVICES,LLC CATERING SERVICES,,
LKJ LLC,LKJ LLC,,
LIZA BANCE BAND,LIZA BANCE BAND,,
LIVINGSOCIAL,LIVINGSOCIAL,y,
LIVING CLASSROOMS,LIVING CLASSROOMS,,
LIVE-K KARAOKE BAR,LIVEK KARAOKE BAR,,
LIVE-K,LIVEK,,
LIVE OAK RESTAURANT,LIVE OAK RESTAURANT,,
"LIVE NATION WORLDWIDE, INC.","LIVE NATION WORLDWIDE, INC.",y,
LIVE NATION ENTERTAINMENT,LIVE NATION ENTERTAINMENT,y,
LIVE K,LIVE K,y,
LITTLE VENICE,LITTLE VENICE,,
LITTLE SESAME,LITTLE SESAME,y,
LITTLE SAIGON RESTAURANT,LITTLE SAIGON RESTAURANT,,
LITTLE RICKY'S CATERING,LITTLE RICKY'S CATERING,,
LITTLE PEARL,LITTLE PEARL,,
LITTLE NICKEL,LITTLE NICKEL,,
LITTLE MEXICO,LITTLE MEXICO,,
LITTLE CRITTERS TRAVELING PETTING ZOO,LITTLE CRITTERS TRAVELING PETTING ZOO,,
LITTLE CAESARS,LITTLE CAESARS,,
LITTLE BEET,LITTLE BEET,,
LITTLE ACRE FLOWERS,LITTLE ACRE FLOWERS,y,
LITTLE ACRE,LITTLE ACRE,,
LISTRANI'S MCLEAN,LISTRANI'S MCLEAN,,
LISTRANI'S,LISTRANI'S,,
LISTEN STRATEGIES LLC,LISTEN STRATEGIES LLC,y,
"LISBETH MELENDEZ RIVERA, CATERER","LISBETH MELENDEZ RIVERA, CATERER",,
LISA P GERLACH,LISA P GERLACH,,
LIQUID LIB'S,LIQUID LIB'S,,
LIONS FINE WINE & SPIRITS,LIONS FINE WINE & SPIRITS,,
LINWOODS RESTAURANT & CATERING,LINWOODS RESTAURANT & CATERING,,
LINWOODS,LINWOODS,,
LINTON ENTERTAINMENT,LINTON ENTERTAINMENT,,
LINE HOTEL,LINE HOTEL,,
LINDSEY M SCHULTE,LINDSEY M SCHULTE,,
LINDSEY ADAMS,LINDSEY ADAMS,,
LINDSAY ADAMS,LINDSAY ADAMS,,
LINDER & ASSOCIATES,LINDER & ASSOCIATES,y,
LINDEN ROW INN,LINDEN ROW INN,,
LINCOLN'S WAFFLE SHOP,LINCOLN'S WAFFLE SHOP,,
LINCOLN RESTAURANT,LINCOLN RESTAURANT,,
LINCOLN REAGAN GALA COMMITTEE,LINCOLN REAGAN GALA COMMITTEE,y,
LINCOLN PARK KITCHEN AND WINE BAR,LINCOLN PARK KITCHEN AND WINE BAR,,
LINCOLN PARK KITCHEN,LINCOLN PARK KITCHEN,,
LINCOLN KIOSK,LINCOLN KIOSK,,
LINCOLN HOUSE RESTAURANT,LINCOLN HOUSE RESTAURANT,,
LINCOLN HOUSE,LINCOLN HOUSE,,
LINCOLN  RESTAURANT,LINCOLN  RESTAURANT,,
LINCOLN,LINCOLN,,
LIMOUSINE INC,LIMOUSINE INC,,
LIMONCELLO,LIMONCELLO,,
LIME FRESH MEXICAN GRILL,LIME FRESH MEXICAN GRILL,,
LIMA RESTAURANT,LIMA RESTAURANT,,
LILYROSE CAKES CUPCAKES,LILYROSE CAKES CUPCAKES,,
LILLIES RESTAURANT,LILLIES RESTAURANT,,
LILLIE'S RESTAURANT,LILLIE'S RESTAURANT,,
LILLIE PEARL,LILLIE PEARL,,
LILIT CAFE,LILIT CAFE,,
LIL HAVANA CIGAR CLUB,LIL HAVANA CIGAR CLUB,,
